model,fold,slice_type,bucket,support,accuracy,f1_macro,roc_auc,pr_auc
baseline_plus_gps_transformer,1,purity,mid,455,0.9626373626373627,0.9596397580994422,1.0,1.0
baseline_plus_gps_transformer,1,purity,high,495,0.9636363636363636,0.9572752033144085,0.9999999999999999,1.0
baseline_plus_gps_transformer,2,degree,low,466,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,2,degree,mid,621,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,2,degree,high,329,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,2,purity,low,452,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,2,purity,mid,470,1.0,1.0,1.0,0.9999999999999998
baseline_plus_gps_transformer,2,purity,high,494,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,3,degree,low,809,0.9975278121137207,0.9972205043633615,0.9999518999518999,0.9999057672809687
baseline_plus_gps_transformer,3,degree,mid,271,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,3,degree,high,336,1.0,1.0,1.0,0.9999999999999999
baseline_plus_gps_transformer,3,purity,low,452,0.9977876106194691,0.9975638019780635,0.9999784724016189,0.9999601942520502
baseline_plus_gps_transformer,3,purity,mid,473,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,3,purity,high,491,0.9979633401221996,0.9977213768267272,0.9999814091838631,0.999963490324936
baseline_plus_gps_transformer,4,degree,low,457,0.9912472647702407,0.990267484453531,1.0,0.9999999999999999
baseline_plus_gps_transformer,4,degree,mid,626,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,4,degree,high,333,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,4,purity,low,485,0.9979381443298969,0.9976719515765928,1.0,0.9999999999999999
baseline_plus_gps_transformer,4,purity,mid,458,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,4,purity,high,473,0.9936575052854123,0.9928379994851839,1.0,1.0
baseline_plus_gps_transformer,5,degree,low,464,0.9892241379310345,0.9882595252192483,0.9998373983739838,0.9997102033661718
baseline_plus_gps_transformer,5,degree,mid,637,0.9905808477237049,0.9889766958929396,0.9997686149289648,0.9995123867315012
baseline_plus_gps_transformer,5,degree,high,315,1.0,1.0,1.0,1.0
baseline_plus_gps_transformer,5,purity,low,484,0.987603305785124,0.9854005791505791,0.9998784145254114,0.9997296322999278
baseline_plus_gps_transformer,5,purity,mid,486,0.9979423868312757,0.9978375684658749,1.0,1.0000000000000002
baseline_plus_gps_transformer,5,purity,high,446,0.9910313901345291,0.9895484264054555,0.9998125278279006,0.9995971308059934
