epoch,train_loss,lr,val_accuracy,val_f1,val_roc_auc,val_selection
34,0.004991543207628031,0.00026458368828136743,0.75,0.6974789915966386,0.875,0.875
35,0.14814551845969012,0.00026182746499207865,0.8333333333333334,0.7777777777777777,0.90625,0.90625
36,0.0065980911410103244,0.00025898411169004965,0.9166666666666666,0.8991596638655461,1.0,1.0
37,0.020561867315943044,0.00025605594745501753,0.9166666666666666,0.8991596638655461,0.96875,0.96875
38,0.20406110410112888,0.0002530453605397328,0.9166666666666666,0.8991596638655461,0.90625,0.90625
39,0.15947634105881056,0.00024995480642206637,0.75,0.6210526315789473,0.8125,0.8125
40,0.03639443606759111,0.0002467868058022862,0.75,0.6210526315789473,0.8125,0.8125
41,0.08040448650717735,0.00024354394254713852,0.75,0.6210526315789473,0.96875,0.96875
42,0.07384072314016521,0.00024022886158240857,0.75,0.6210526315789473,0.90625,0.90625
43,0.3119499405535559,0.00023684426673568155,0.6666666666666666,0.4,0.84375,0.84375
44,0.021740089791516464,0.00023339291853106164,0.5833333333333334,0.3684210526315789,0.75,0.75
45,0.08753080510844786,0.00022987763193764947,0.5833333333333334,0.3684210526315789,0.78125,0.78125
46,0.016893184433380764,0.00022630127407361256,0.6666666666666666,0.4,0.90625,0.90625
47,0.020144505115846794,0.00022266676186772266,0.6666666666666666,0.4,1.0,1.0
48,0.022036360576748848,0.00021897705968026705,0.75,0.6210526315789473,1.0,1.0
49,0.01201571609514455,0.00021523517688527353,0.75,0.6210526315789473,0.96875,0.96875
50,0.013059437740594149,0.00021144416541602176,0.75,0.6210526315789473,1.0,1.0
51,0.0069005717523396015,0.0002076071172758429,0.75,0.6210526315789473,1.0,1.0
52,0.011311786637331048,0.00020372716201623732,0.75,0.6210526315789473,1.0,1.0
53,0.005460422835312784,0.00019980746418436736,0.75,0.6210526315789473,1.0,1.0
54,0.00974613680349042,0.0001958512207420073,0.75,0.6210526315789473,1.0,1.0
55,0.07073410646989942,0.00019186165845805562,0.8333333333333334,0.7777777777777777,0.96875,0.96875
56,0.019145598984323442,0.00018784203127673583,0.75,0.6974789915966386,0.90625,0.90625
57,0.06874563063805302,0.00018379561766363307,0.75,0.6210526315789473,1.0,1.0
58,0.016593181838591892,0.00017972571793173044,0.75,0.6210526315789473,1.0,1.0
59,0.01749539173518618,0.00017563565154962634,0.6666666666666666,0.4,1.0,1.0
60,0.016220444968591135,0.00017152875443412837,0.6666666666666666,0.4,1.0,1.0
61,0.008045826378899315,0.00016740837622943177,0.6666666666666666,0.4,1.0,1.0
62,0.07810428040102124,0.00016327787757510135,0.6666666666666666,0.4,1.0,1.0
63,0.005998666437032322,0.00015914062736508593,0.6666666666666666,0.4,0.96875,0.96875
64,0.004917380671637754,0.000155,0.6666666666666666,0.4,0.96875,0.96875
65,0.004819533942888181,0.00015085937263491404,0.6666666666666666,0.4,0.9375,0.9375
66,0.010610104848941168,0.00014672212242489862,0.6666666666666666,0.4,0.96875,0.96875
