local_gnn,global_attn,lap_pe_dim,lap_pe_encoder,rwse_dim,rwse_encoder,out_dir,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
gine,bigbird,0,raw,0,raw,gps_artifacts\graph_level\gine\20260207_142501_193859__bigbird__gine_bigbird_lap0_rwse0,0.6000000000000001,0.0565685424949238,0.4096724055475849,0.027476052592734092,0.46473311546840956,0.08543237104213731
gcn,none,0,raw,0,raw,gps_artifacts\graph_level\gcn\20260207_142528_271180__none__gcn_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.6767429193899782,0.10732214579152533
gcn,multihead,0,raw,0,raw,gps_artifacts\graph_level\gcn\20260207_142537_116608__multihead__gcn_multihead_lap0_rwse0,0.6133333333333334,0.0679869268479038,0.43166860240030974,0.04867975637645837,0.5607298474945533,0.024879951322787867
gcn,performer,0,raw,0,raw,gps_artifacts\graph_level\gcn\20260207_142604_707890__performer__gcn_performer_lap0_rwse0,0.5866666666666667,0.10498677165349082,0.40389082462253195,0.01080461946929182,0.44893790849673204,0.05810713452975097
gcn,graphormer,0,raw,0,raw,gps_artifacts\graph_level\gcn\20260207_142642_005377__graphormer__gcn_graphormer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.48366013071895425,0.10305188655442382
gcn,bigbird,0,raw,0,raw,gps_artifacts\graph_level\gcn\20260207_142839_728580__bigbird__gcn_bigbird_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5136165577342048,0.044457174770215796
pna,none,0,raw,0,raw,gps_artifacts\graph_level\pna\20260207_142858_243242__none__pna_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5701252723311546,0.18467978178527628
pna,multihead,0,raw,0,raw,gps_artifacts\graph_level\pna\20260207_142908_810741__multihead__pna_multihead_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.4554781262098335,0.08220329436901921,0.47453703703703703,0.07179658527440194
pna,performer,0,raw,0,raw,gps_artifacts\graph_level\pna\20260207_142929_448506__performer__pna_performer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5328159041394335,0.10035079720937803
pna,graphormer,0,raw,0,raw,gps_artifacts\graph_level\pna\20260207_142949_941991__graphormer__pna_graphormer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.360974945533769,0.0995103032686289
pna,bigbird,0,raw,0,raw,gps_artifacts\graph_level\pna\20260207_143150_478992__bigbird__pna_bigbird_lap0_rwse0,0.5866666666666668,0.10498677165349082,0.4113694571011644,0.020486369709721675,0.4044117647058824,0.13518217875625171
transformerconv,none,0,raw,0,raw,gps_artifacts\graph_level\transformerconv\20260207_143227_771638__none__transformerconv_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.3582516339869281,0.03244571709033989
transformerconv,multihead,0,raw,0,raw,gps_artifacts\graph_level\transformerconv\20260207_143236_856496__multihead__transformerconv_multihead_lap0_rwse0,0.64,0.03265986323710907,0.4451489945571725,0.06764191525095682,0.525871459694989,0.0912606038974322
transformerconv,performer,0,raw,0,raw,gps_artifacts\graph_level\transformerconv\20260207_143304_684232__performer__transformerconv_performer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5034041394335512,0.1420411270625139
transformerconv,graphormer,0,raw,0,raw,gps_artifacts\graph_level\transformerconv\20260207_143329_528661__graphormer__transformerconv_graphormer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.47154139433551195,0.06843617437386264
transformerconv,bigbird,0,raw,0,raw,gps_artifacts\graph_level\transformerconv\20260207_143524_098097__bigbird__transformerconv_bigbird_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5477941176470588,0.06396855354488355
gatedgraph,none,0,raw,0,raw,gps_artifacts\graph_level\gatedgraph\20260207_143545_819133__none__gatedgraph_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.4991149237472767,0.04256094671704318
gatedgraph,multihead,0,raw,0,raw,gps_artifacts\graph_level\gatedgraph\20260207_143553_126126__multihead__gatedgraph_multihead_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.4377723311546841,0.04612738313068629
gatedgraph,performer,0,raw,0,raw,gps_artifacts\graph_level\gatedgraph\20260207_143617_894158__performer__gatedgraph_performer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5374455337690631,0.07731591314858473
gatedgraph,graphormer,0,raw,0,raw,gps_artifacts\graph_level\gatedgraph\20260207_143638_647155__graphormer__gatedgraph_graphormer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5637254901960784,0.017098406484032953
gatedgraph,bigbird,0,raw,0,raw,gps_artifacts\graph_level\gatedgraph\20260207_143832_216572__bigbird__gatedgraph_bigbird_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.474400871459695,0.07881999459756289
